objective,graph
1.62,v 0 C v 1 O v 2 C v 3 C v 4 C v 5 O v 6 C v 7 C v 8 C v 9 C v 10 O v 11 N v 12 C v 13 C v 14 O v 15 N v 16 C v 17 C v 18 N v 19 S v 20 O v 21 O v 22 C v 23 C v 24 C v 25 C v 26 Cl v 27 C v 28 C v 29 C v 30 C v 31 C v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H e 0 1 - e 0 32 - e 0 33 - e 0 34 - e 1 2 - e 2 3 : e 2 31 : e 3 4 : e 3 35 - e 4 5 - e 4 7 : e 5 6 - e 6 36 - e 6 37 - e 6 38 - e 7 8 : e 7 39 - e 8 9 - e 8 31 : e 9 10 = e 9 11 - e 11 12 - e 11 40 - e 12 13 - e 12 41 - e 12 42 - e 13 14 = e 13 15 - e 15 16 - e 15 30 - e 16 17 - e 16 43 - e 16 44 - e 17 18 - e 17 45 - e 17 46 - e 18 19 - e 18 29 - e 19 20 = e 19 21 = e 19 22 - e 22 23 : e 22 28 : e 23 24 : e 23 47 - e 24 25 : e 24 48 - e 25 26 - e 25 27 : e 27 28 : e 27 49 - e 28 50 - e 29 30 - e 29 51 - e 29 52 - e 30 53 - e 30 54 - e 31 55 -
1.909,v 0 C v 1 O v 2 C v 3 C v 4 C v 5 C v 6 S v 7 O v 8 O v 9 N v 10 C v 11 C v 12 C v 13 C v 14 C v 15 C v 16 O v 17 N v 18 C v 19 C v 20 O v 21 N v 22 C v 23 C v 24 C v 25 C v 26 C v 27 C v 28 C v 29 C v 30 C v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H e 0 1 - e 0 31 - e 0 32 - e 0 33 - e 1 2 - e 2 3 : e 2 30 : e 3 4 : e 3 34 - e 4 5 : e 4 35 - e 5 6 - e 5 29 : e 6 7 = e 6 8 = e 6 9 - e 9 10 - e 9 36 - e 10 11 - e 10 37 - e 10 38 - e 11 12 - e 11 28 - e 11 39 - e 12 13 - e 12 40 - e 12 41 - e 13 14 - e 13 42 - e 13 43 - e 14 15 - e 14 27 - e 14 44 - e 15 16 = e 15 17 - e 17 18 - e 17 45 - e 18 19 - e 18 46 - e 18 47 - e 19 20 = e 19 21 - e 21 22 - e 21 26 - e 22 23 - e 22 48 - e 22 49 - e 23 24 - e 23 50 - e 23 51 - e 24 25 - e 24 52 - e 24 53 - e 25 26 - e 25 54 - e 25 55 - e 26 56 - e 26 57 - e 27 28 - e 27 58 - e 27 59 - e 28 60 - e 28 61 - e 29 30 : e 29 62 - e 30 63 -
1.982,v 0 C v 1 C v 2 N v 3 C v 4 N v 5 P v 6 O v 7 N v 8 C v 9 C v 10 O v 11 C v 12 C v 13 N v 14 C v 15 C v 16 O v 17 C v 18 C v 19 N v 20 C v 21 C v 22 O v 23 C v 24 C v 25 C v 26 C v 27 C v 28 C v 29 O v 30 C v 31 C v 32 C v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H v 65 H v 66 H v 67 H v 68 H e 0 1 - e 0 33 - e 0 34 - e 0 35 - e 1 2 - e 1 36 - e 1 37 - e 2 3 - e 2 25 - e 3 4 = e 3 19 - e 4 5 - e 5 6 = e 5 7 - e 5 13 - e 7 8 - e 7 12 - e 8 9 - e 8 38 - e 8 39 - e 9 10 - e 9 40 - e 9 41 - e 10 11 - e 11 12 - e 11 42 - e 11 43 - e 12 44 - e 12 45 - e 13 14 - e 13 18 - e 14 15 - e 14 46 - e 14 47 - e 15 16 - e 15 48 - e 15 49 - e 16 17 - e 17 18 - e 17 50 - e 17 51 - e 18 52 - e 18 53 - e 19 20 - e 19 24 - e 20 21 - e 20 54 - e 20 55 - e 21 22 - e 21 56 - e 21 57 - e 22 23 - e 23 24 - e 23 58 - e 23 59 - e 24 60 - e 24 61 - e 25 26 : e 25 32 : e 26 27 : e 26 62 - e 27 28 : e 27 63 - e 28 29 - e 28 31 : e 29 30 - e 30 64 - e 30 65 - e 30 66 - e 31 32 : e 31 67 - e 32 68 -
1.443,v 0 C v 1 C v 2 C v 3 C v 4 C v 5 C v 6 N v 7 C v 8 O v 9 C v 10 O v 11 N v 12 C v 13 C v 14 O v 15 C v 16 C v 17 C v 18 N v 19 S v 20 O v 21 O v 22 C v 23 C v 24 C v 25 F v 26 C v 27 C v 28 C v 29 F v 30 C v 31 C v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H e 0 1 - e 0 32 - e 0 33 - e 0 34 - e 1 2 : e 1 31 : e 2 3 : e 2 35 - e 3 4 : e 3 36 - e 4 5 - e 4 30 : e 5 6 - e 5 37 - e 5 38 - e 6 7 - e 6 39 - e 7 8 = e 7 9 - e 9 10 = e 9 11 - e 11 12 - e 11 40 - e 12 13 - e 12 41 - e 12 42 - e 13 14 - e 13 18 - e 13 43 - e 14 15 - e 15 16 - e 15 44 - e 15 45 - e 16 17 - e 16 46 - e 16 47 - e 17 18 - e 17 48 - e 17 49 - e 18 19 - e 19 20 = e 19 21 = e 19 22 - e 22 23 : e 22 28 : e 23 24 : e 23 50 - e 24 25 - e 24 26 : e 26 27 : e 26 51 - e 27 28 : e 27 52 - e 28 29 - e 30 31 : e 30 53 - e 31 54 -
1.322,v 0 C v 1 N v 2 C v 3 S v 4 O v 5 O v 6 C v 7 C v 8 C v 9 C v 10 C v 11 O v 12 N v 13 C v 14 C v 15 N v 16 N v 17 C v 18 C v 19 C v 20 O v 21 N v 22 C v 23 C v 24 C v 25 C v 26 C v 27 C v 28 C v 29 C v 30 N v 31 C v 32 C v 33 C v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H e 0 1 - e 0 34 - e 0 35 - e 0 36 - e 1 2 - e 1 3 - e 2 37 - e 2 38 - e 2 39 - e 3 4 = e 3 5 = e 3 6 - e 6 7 : e 6 33 : e 7 8 : e 7 40 - e 8 9 : e 8 41 - e 9 10 - e 9 32 : e 10 11 = e 10 12 - e 12 13 - e 12 42 - e 13 14 - e 13 43 - e 13 44 - e 14 15 - e 14 45 - e 14 46 - e 15 16 - e 15 31 - e 15 47 - e 16 17 - e 17 18 - e 17 48 - e 18 19 - e 18 31 - e 19 20 = e 19 21 - e 21 22 - e 21 29 - e 21 49 - e 22 23 - e 22 50 - e 22 51 - e 23 24 : e 23 28 : e 24 25 : e 24 52 - e 25 26 : e 25 53 - e 26 27 : e 26 54 - e 27 28 : e 27 55 - e 28 56 - e 29 30 - e 29 57 - e 30 31 - e 32 33 : e 32 58 - e 33 59 -
1.991,v 0 O v 1 C v 2 N v 3 C v 4 C v 5 F v 6 F v 7 F v 8 C v 9 O v 10 N v 11 C v 12 C v 13 C v 14 O v 15 N v 16 C v 17 O v 18 N v 19 C v 20 C v 21 C v 22 C v 23 C v 24 C v 25 C v 26 C v 27 C v 28 C v 29 C v 30 C v 31 C v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H e 0 1 = e 1 2 - e 1 26 - e 2 3 - e 2 32 - e 3 4 - e 3 8 - e 3 12 - e 4 5 - e 4 6 - e 4 7 - e 8 9 = e 8 10 - e 10 11 - e 10 33 - e 11 12 - e 11 18 - e 12 13 - e 13 14 = e 13 15 - e 15 16 - e 15 34 - e 16 17 = e 16 18 - e 18 19 - e 18 35 - e 19 20 - e 19 36 - e 19 37 - e 20 21 : e 20 25 : e 21 22 : e 21 38 - e 22 23 : e 22 39 - e 23 24 : e 23 40 - e 24 25 : e 24 41 - e 25 42 - e 26 27 - e 26 31 - e 26 43 - e 27 28 - e 27 44 - e 27 45 - e 28 29 - e 28 46 - e 28 47 - e 29 30 - e 29 48 - e 29 49 - e 30 31 - e 30 50 - e 30 51 - e 31 52 - e 31 53 -
1.573,v 0 O v 1 C v 2 N v 3 C v 4 C v 5 C v 6 C v 7 C v 8 C v 9 N v 10 C v 11 O v 12 N v 13 N v 14 C v 15 C v 16 C v 17 C v 18 C v 19 C v 20 N v 21 S v 22 O v 23 O v 24 C v 25 C v 26 C v 27 C v 28 Cl v 29 C v 30 C v 31 O v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H e 0 1 = e 1 2 - e 1 10 - e 2 3 - e 2 32 - e 3 4 - e 3 33 - e 3 34 - e 4 5 : e 4 9 : e 5 6 : e 5 35 - e 6 7 : e 6 36 - e 7 8 : e 7 37 - e 8 9 : e 8 38 - e 10 11 = e 10 12 - e 12 13 - e 12 39 - e 13 14 = e 14 15 - e 14 40 - e 15 16 : e 15 31 : e 16 17 : e 16 41 - e 17 18 : e 17 42 - e 18 19 - e 18 31 : e 19 20 - e 19 43 - e 19 44 - e 20 21 - e 20 45 - e 21 22 = e 21 23 = e 21 24 - e 24 25 : e 24 30 : e 25 26 : e 25 46 - e 26 27 : e 26 47 - e 27 28 - e 27 29 : e 29 30 : e 29 48 - e 30 49 -
1.285,v 0 C v 1 O v 2 C v 3 C v 4 C v 5 C v 6 C v 7 C v 8 C v 9 O v 10 N v 11 C v 12 S v 13 N v 14 C v 15 O v 16 C v 17 C v 18 O v 19 S v 20 O v 21 O v 22 C v 23 C v 24 C v 25 C v 26 C v 27 C v 28 N v 29 O v 30 O v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H e 0 1 - e 0 31 - e 0 32 - e 0 33 - e 1 2 - e 2 3 : e 2 17 : e 3 4 : e 3 34 - e 4 5 : e 4 35 - e 5 6 - e 5 16 : e 6 7 = e 6 36 - e 7 8 : e 7 14 : e 8 9 = e 8 10 : e 10 11 : e 10 37 - e 11 12 = e 11 13 : e 13 14 : e 13 38 - e 14 15 = e 16 17 : e 16 39 - e 17 18 - e 18 19 - e 19 20 = e 19 21 = e 19 22 - e 22 23 : e 22 27 : e 23 24 : e 23 40 - e 24 25 : e 24 41 - e 25 26 : e 25 42 - e 26 27 : e 26 43 - e 27 28 - e 28 29 = e 28 30 -
1.766,v 0 C v 1 C v 2 O v 3 C v 4 O v 5 C v 6 C v 7 C v 8 N v 9 C v 10 C v 11 C v 12 C v 13 O v 14 O v 15 C v 16 C v 17 C v 18 C v 19 O v 20 O v 21 C v 22 C v 23 O v 24 N v 25 C v 26 C v 27 N v 28 C v 29 C v 30 C v 31 C v 32 C v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H e 0 1 - e 0 33 - e 0 34 - e 0 35 - e 1 2 - e 1 36 - e 1 37 - e 2 3 - e 3 4 = e 3 5 - e 5 6 = e 5 17 - e 6 7 - e 6 8 - e 7 38 - e 7 39 - e 7 40 - e 8 9 - e 8 41 - e 9 10 - e 9 11 = e 10 42 - e 10 43 - e 10 44 - e 11 12 - e 11 17 - e 12 13 = e 12 14 - e 14 15 - e 15 16 - e 15 45 - e 15 46 - e 16 47 - e 16 48 - e 16 49 - e 17 18 - e 17 50 - e 18 19 = e 18 20 - e 20 21 - e 21 22 - e 21 51 - e 21 52 - e 22 23 = e 22 24 - e 24 25 - e 24 53 - e 25 26 - e 25 28 - e 25 32 - e 26 27 # e 28 29 - e 28 54 - e 28 55 - e 29 30 - e 29 56 - e 29 57 - e 30 31 - e 30 58 - e 30 59 - e 31 32 - e 31 60 - e 31 61 - e 32 62 - e 32 63 -
1.761,v 0 C v 1 C v 2 C v 3 O v 4 N v 5 C v 6 C v 7 C v 8 C v 9 C v 10 C v 11 C v 12 N v 13 C v 14 C v 15 O v 16 C v 17 C v 18 C v 19 N v 20 C v 21 C v 22 C v 23 C v 24 C v 25 C v 26 O v 27 C v 28 C v 29 O v 30 S v 31 C v 32 O v 33 O v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H e 0 1 - e 0 34 - e 0 35 - e 0 36 - e 1 2 - e 1 19 - e 1 37 - e 2 3 = e 2 4 - e 4 5 - e 4 38 - e 5 6 - e 5 39 - e 5 40 - e 6 7 : e 6 18 : e 7 8 : e 7 41 - e 8 9 : e 8 42 - e 9 10 : e 9 43 - e 10 11 - e 10 18 : e 11 12 - e 11 44 - e 11 45 - e 12 13 - e 12 17 - e 13 14 - e 13 46 - e 13 47 - e 14 15 - e 14 48 - e 14 49 - e 15 16 - e 16 17 - e 16 50 - e 16 51 - e 17 52 - e 17 53 - e 18 54 - e 19 20 - e 19 30 - e 20 21 : e 20 25 : e 21 22 : e 21 55 - e 22 23 : e 22 56 - e 23 24 : e 23 29 - e 24 25 : e 24 26 - e 25 57 - e 26 27 - e 27 28 - e 27 58 - e 27 59 - e 28 29 - e 28 60 - e 28 61 - e 30 31 - e 30 32 = e 30 33 = e 31 62 - e 31 63 - e 31 64 -
1.601,v 0 C v 1 O v 2 C v 3 C v 4 C v 5 C v 6 C v 7 C v 8 N v 9 O v 10 C v 11 C v 12 O v 13 N v 14 N v 15 C v 16 C v 17 O v 18 N v 19 C v 20 N v 21 C v 22 C v 23 O v 24 C v 25 C v 26 C v 27 C v 28 C v 29 C v 30 C v 31 C v 32 C v 33 C v 34 O v 35 C v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H e 0 1 - e 0 36 - e 0 37 - e 0 38 - e 1 2 - e 2 3 : e 2 33 : e 3 4 : e 3 39 - e 4 5 : e 4 40 - e 5 6 - e 5 32 : e 6 7 - e 6 8 = e 7 41 - e 7 42 - e 7 43 - e 8 9 - e 9 10 - e 10 11 - e 10 44 - e 10 45 - e 11 12 = e 11 13 - e 13 14 - e 13 46 - e 14 15 = e 15 16 - e 15 31 - e 16 17 = e 16 18 - e 18 19 - e 18 26 - e 19 20 - e 19 47 - e 19 48 - e 20 21 - e 20 25 - e 21 22 - e 21 49 - e 21 50 - e 22 23 - e 22 51 - e 22 52 - e 23 24 - e 24 25 - e 24 53 - e 24 54 - e 25 55 - e 25 56 - e 26 27 : e 26 31 : e 27 28 : e 27 57 - e 28 29 : e 28 58 - e 29 30 : e 29 59 - e 30 31 : e 30 60 - e 32 33 : e 32 61 - e 33 34 - e 34 35 - e 35 62 - e 35 63 - e 35 64 -
1.268,v 0 O v 1 C v 2 N v 3 C v 4 C v 5 C v 6 C v 7 N v 8 C v 9 C v 10 C v 11 C v 12 C v 13 C v 14 C v 15 O v 16 N v 17 C v 18 C v 19 O v 20 C v 21 C v 22 N v 23 S v 24 O v 25 O v 26 C v 27 C v 28 C v 29 F v 30 C v 31 C v 32 C v 33 F v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H e 0 1 = e 1 2 - e 1 14 - e 2 3 - e 2 34 - e 3 4 - e 3 35 - e 3 36 - e 4 5 - e 4 37 - e 4 38 - e 5 6 : e 5 13 : e 6 7 : e 6 39 - e 7 8 : e 7 40 - e 8 9 : e 8 13 : e 9 10 : e 9 41 - e 10 11 : e 10 42 - e 11 12 : e 11 43 - e 12 13 : e 12 44 - e 14 15 = e 14 16 - e 16 17 - e 16 45 - e 17 18 - e 17 46 - e 17 47 - e 18 19 - e 18 22 - e 18 48 - e 19 20 - e 20 21 - e 20 49 - e 20 50 - e 21 22 - e 21 51 - e 21 52 - e 22 23 - e 23 24 = e 23 25 = e 23 26 - e 26 27 : e 26 32 : e 27 28 : e 27 53 - e 28 29 - e 28 30 : e 30 31 : e 30 54 - e 31 32 : e 31 55 - e 32 33 -
1.736,v 0 O v 1 C v 2 N v 3 C v 4 C v 5 N v 6 C v 7 C v 8 O v 9 C v 10 C v 11 C v 12 C v 13 C v 14 C v 15 C v 16 C v 17 N v 18 C v 19 O v 20 C v 21 C v 22 C v 23 O v 24 N v 25 C v 26 C v 27 C v 28 C v 29 C v 30 C v 31 C v 32 C v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H e 0 1 = e 1 2 - e 1 11 - e 2 3 - e 2 33 - e 3 4 - e 3 34 - e 3 35 - e 4 5 - e 4 36 - e 4 37 - e 5 6 - e 5 10 - e 6 7 - e 6 38 - e 6 39 - e 7 8 - e 7 40 - e 7 41 - e 8 9 - e 9 10 - e 9 42 - e 9 43 - e 10 44 - e 10 45 - e 11 12 : e 11 16 : e 12 13 : e 12 46 - e 13 14 : e 13 47 - e 14 15 : e 14 48 - e 15 16 : e 15 49 - e 16 17 - e 17 18 - e 17 50 - e 18 19 = e 18 20 - e 20 21 - e 20 32 - e 20 51 - e 21 22 - e 21 52 - e 21 53 - e 22 23 = e 22 24 - e 24 25 - e 24 32 - e 25 26 - e 25 54 - e 25 55 - e 26 27 : e 26 31 : e 27 28 : e 27 56 - e 28 29 : e 28 57 - e 29 30 : e 29 58 - e 30 31 : e 30 59 - e 31 60 - e 32 61 - e 32 62 -
1.854,v 0 C v 1 C v 2 C v 3 O v 4 C v 5 C v 6 C v 7 O v 8 C v 9 C v 10 O v 11 C v 12 C v 13 C v 14 C v 15 O v 16 C v 17 C v 18 C v 19 O v 20 C v 21 C v 22 C v 23 O v 24 C v 25 O v 26 C v 27 C v 28 C v 29 C v 30 C v 31 C v 32 C v 33 C v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H v 65 H v 66 H v 67 H v 68 H v 69 H v 70 H v 71 H v 72 H v 73 H v 74 H v 75 H v 76 H v 77 H e 0 1 - e 0 34 - e 0 35 - e 0 36 - e 1 2 - e 1 3 - e 1 4 - e 2 37 - e 2 38 - e 2 39 - e 3 40 - e 4 5 - e 4 41 - e 4 42 - e 5 6 - e 5 43 - e 5 44 - e 6 7 - e 6 8 - e 6 45 - e 7 46 - e 8 9 - e 8 10 - e 8 11 - e 9 47 - e 9 48 - e 9 49 - e 10 50 - e 11 12 - e 11 32 - e 11 51 - e 12 13 - e 12 52 - e 12 53 - e 13 14 - e 13 54 - e 13 55 - e 14 15 - e 14 16 - e 14 32 - e 15 56 - e 16 17 = e 16 29 - e 17 18 - e 17 57 - e 18 19 = e 18 20 - e 20 21 - e 20 27 - e 20 58 - e 21 22 - e 21 59 - e 21 60 - e 22 23 - e 22 24 - e 22 61 - e 23 62 - e 24 25 - e 24 26 - e 24 63 - e 25 64 - e 26 27 - e 26 65 - e 26 66 - e 27 28 - e 27 29 - e 28 67 - e 28 68 - e 28 69 - e 29 30 - e 29 70 - e 30 31 - e 30 71 - e 30 72 - e 31 32 - e 31 73 - e 31 74 - e 32 33 - e 33 75 - e 33 76 - e 33 77 -
1.552,v 0 C v 1 O v 2 C v 3 O v 4 C v 5 O v 6 C v 7 C v 8 C v 9 C v 10 C v 11 C v 12 N v 13 N v 14 C v 15 O v 16 C v 17 C v 18 N v 19 C v 20 C v 21 C v 22 C v 23 O v 24 C v 25 C v 26 C v 27 S v 28 C v 29 O v 30 O v 31 C v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H e 0 1 - e 0 32 - e 0 33 - e 0 34 - e 1 2 - e 2 3 = e 2 4 - e 4 5 - e 4 35 - e 4 36 - e 5 6 - e 6 7 : e 6 31 : e 7 8 : e 7 37 - e 8 9 : e 8 38 - e 9 10 : e 9 39 - e 10 11 - e 10 31 : e 11 12 = e 11 40 - e 12 13 - e 13 14 - e 13 41 - e 14 15 = e 14 16 - e 16 17 - e 16 18 - e 16 42 - e 17 43 - e 17 44 - e 17 45 - e 18 19 - e 18 27 - e 19 20 : e 19 26 : e 20 21 : e 20 46 - e 21 22 : e 21 47 - e 22 23 - e 22 25 : e 23 24 - e 24 48 - e 24 49 - e 24 50 - e 25 26 : e 25 51 - e 26 52 - e 27 28 - e 27 29 = e 27 30 = e 28 53 - e 28 54 - e 28 55 - e 31 56 -
1.906,v 0 O v 1 C v 2 N v 3 N v 4 C v 5 C v 6 C v 7 O v 8 N v 9 C v 10 O v 11 N v 12 C v 13 C v 14 C v 15 C v 16 I v 17 C v 18 C v 19 C v 20 O v 21 C v 22 C v 23 C v 24 C v 25 C v 26 C v 27 H v 28 H v 29 H v 30 H v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H e 0 1 = e 1 2 - e 1 21 - e 2 3 - e 2 27 - e 3 4 = e 4 5 - e 4 28 - e 5 6 - e 5 19 - e 5 29 - e 6 7 = e 6 8 - e 8 9 - e 8 30 - e 9 10 = e 9 11 - e 11 12 - e 11 19 - e 12 13 : e 12 18 : e 13 14 : e 13 31 - e 14 15 : e 14 32 - e 15 16 - e 15 17 : e 17 18 : e 17 33 - e 18 34 - e 19 20 = e 21 22 : e 21 26 : e 22 23 : e 22 35 - e 23 24 : e 23 36 - e 24 25 : e 24 37 - e 25 26 : e 25 38 - e 26 39 -
1.997,v 0 C v 1 C v 2 C v 3 C v 4 C v 5 N v 6 C v 7 O v 8 C v 9 N v 10 C v 11 O v 12 C v 13 C v 14 C v 15 C v 16 C v 17 C v 18 O v 19 C v 20 F v 21 F v 22 C v 23 O v 24 C v 25 C v 26 S v 27 C v 28 C v 29 C v 30 O v 31 O v 32 C v 33 C v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H e 0 1 - e 0 34 - e 0 35 - e 0 36 - e 1 2 - e 1 37 - e 1 38 - e 2 3 - e 2 39 - e 2 40 - e 3 4 - e 3 5 - e 3 41 - e 4 42 - e 4 43 - e 4 44 - e 5 6 - e 5 45 - e 6 7 = e 6 8 - e 8 9 - e 8 46 - e 8 47 - e 9 10 - e 9 27 - e 9 48 - e 10 11 = e 10 12 - e 12 13 = e 12 26 - e 13 14 - e 13 49 - e 14 15 : e 14 25 : e 15 16 : e 15 50 - e 16 17 : e 16 51 - e 17 18 - e 17 22 : e 18 19 - e 19 20 - e 19 21 - e 19 52 - e 22 23 - e 22 25 : e 23 24 - e 24 53 - e 24 54 - e 24 55 - e 25 56 - e 26 27 - e 26 57 - e 27 28 = e 28 29 - e 28 58 - e 29 30 = e 29 31 - e 31 32 - e 32 33 - e 32 59 - e 32 60 - e 33 61 - e 33 62 - e 33 63 -
1.988,v 0 C v 1 N v 2 C v 3 C v 4 C v 5 N v 6 S v 7 O v 8 O v 9 C v 10 C v 11 C v 12 C v 13 N v 14 C v 15 O v 16 C v 17 C v 18 S v 19 O v 20 O v 21 C v 22 C v 23 C v 24 C v 25 C v 26 C v 27 Cl v 28 C v 29 C v 30 H v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H e 0 1 - e 0 30 - e 0 31 - e 0 32 - e 1 2 - e 1 3 - e 2 33 - e 2 34 - e 2 35 - e 3 4 - e 3 23 - e 3 36 - e 4 5 - e 4 37 - e 4 38 - e 5 6 - e 5 39 - e 6 7 = e 6 8 = e 6 9 - e 9 10 : e 9 22 : e 10 11 : e 10 40 - e 11 12 : e 11 41 - e 12 13 - e 12 21 : e 13 14 - e 13 18 - e 14 15 = e 14 16 - e 16 17 - e 16 42 - e 16 43 - e 17 18 - e 17 44 - e 17 45 - e 18 19 = e 18 20 = e 21 22 : e 21 46 - e 22 47 - e 23 24 : e 23 29 : e 24 25 : e 24 48 - e 25 26 : e 25 49 - e 26 27 - e 26 28 : e 28 29 : e 28 50 - e 29 51 -
1.618,v 0 C v 1 N v 2 C v 3 S v 4 N v 5 C v 6 C v 7 C v 8 C v 9 O v 10 O v 11 C v 12 C v 13 O v 14 N v 15 C v 16 C v 17 C v 18 C v 19 C v 20 C v 21 S v 22 O v 23 O v 24 N v 25 C v 26 C v 27 O v 28 C v 29 C v 30 C v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H e 0 1 - e 0 31 - e 0 32 - e 0 33 - e 1 2 - e 1 34 - e 2 3 : e 2 7 : e 3 4 : e 3 35 - e 4 5 : e 5 6 - e 5 7 : e 6 36 - e 6 37 - e 6 38 - e 7 8 - e 8 9 = e 8 10 - e 10 11 - e 11 12 - e 11 39 - e 11 40 - e 12 13 = e 12 14 - e 14 15 - e 14 41 - e 15 16 : e 15 30 : e 16 17 : e 16 42 - e 17 18 : e 17 43 - e 18 19 - e 18 20 : e 19 44 - e 19 45 - e 19 46 - e 20 21 - e 20 30 : e 21 22 = e 21 23 = e 21 24 - e 24 25 - e 24 29 - e 25 26 - e 25 47 - e 25 48 - e 26 27 - e 26 49 - e 26 50 - e 27 28 - e 28 29 - e 28 51 - e 28 52 - e 29 53 - e 29 54 - e 30 55 -
